escuela,region,distrito,total_matricula,curso,nivel,pct_estudiantes
EUGENIO GUERRA CRUZ,CAGUAS,GUAYAMA,315,espa,basico,43.66
EUGENIO LE COMPTE BENITEZ,PONCE,PONCE,487,espa,basico,44.19
EUGENIO MARIA DE HOSTOS,ARECIBO,ARECIBO,273,espa,basico,41.23
EUGENIO MARIA DE HOSTOS,ARECIBO,ARECIBO,283,espa,basico,46.41
EUGENIO MARIA DE HOSTOS,HUMACAO,YABUCOA,178,espa,basico,28.57
EUGENIO MARIA DE HOSTOS,PONCE,PONCE,139,espa,basico,4.08
EUGENIO MARIA DE HOSTOS (INTERMEDIA),MAYAGUEZ,MAYAGUEZ,187,espa,basico,42.94
EUGENIO MARIA DE HOSTOS (SUPERIOR),MAYAGUEZ,MAYAGUEZ,974,espa,basico,37.81
EVA Y PATRIA CUSTODIO,MAYAGUEZ,MAYAGUEZ,289,espa,basico,30.51
EVARISTO CAMACHO,ARECIBO,MANATI,149,espa,basico,35.63
EVARISTO RIVERA CHEVREMONT,SAN JUAN,SAN JUAN II,365,espa,basico,50.22
EXTENSION BORINQUEN,MAYAGUEZ,AGUADILLA,91,espa,basico,42.86
FACTOR 5,ARECIBO,ARECIBO,413,espa,basico,32.28
FAIR VIEW,SAN JUAN,GUAYNABO,376,espa,basico,31.75
FAUSTINO SANTIAGO,BAYAMON,BAYAMON,144,espa,basico,47.55
FEDERICO ASENJO (PRE-TECNICA),SAN JUAN,SAN JUAN II,324,espa,basico,42.37
FEDERICO DEGETAU,CAGUAS,BARRANQUITAS,448,espa,basico,38.73
FEDERICO DEGETAU II,CAGUAS,BARRANQUITAS,296,espa,basico,46.67
FEDERICO DEGETAU Y GONZALEZ,PONCE,PONCE,144,espa,basico,41.38
FELIPA SANCHEZ CRUZADO,BAYAMON,COROZAL,144,espa,basico,61.11
FELIPE COLON DIAZ,PONCE,SANTA ISABEL,516,espa,basico,44.15
FELIPE GUTIERREZ,SAN JUAN,SAN JUAN II,311,espa,basico,50.28
FELIPE QUINONES,PONCE,YAUCO,98,espa,basico,20
FELIPE RIVERA CENTENO,CAGUAS,GURABO,391,espa,basico,43.64
FELIX CORDOVA DAVILA,ARECIBO,MANATI,236,espa,basico,4.55
FELIX GARAY ORTIZ,CAGUAS,GUAYAMA,215,espa,basico,9.01
FELIX LUCAS BENET,CAGUAS,CIDRA,118,espa,basico,38.46
FELIX ROSARIO RIOS,ARECIBO,ARECIBO,264,espa,basico,30.3
FELIX SANCHEZ CRUZ,HUMACAO,CANOVANAS,337,espa,basico,33.16
FELIX SEIJO,PONCE,UTUADO,154,espa,basico,51.06
FERMIN DELGADO DIAZ,HUMACAO,FAJARDO,579,espa,basico,39.89
FERNANDO CALLEJO,ARECIBO,MANATI,727,espa,basico,60.31
FERNANDO L MALAVE OLIVERAS,PONCE,PONCE,560,espa,basico,29.52
FERNANDO SURIA CHAVEZ,ARECIBO,MANATI,686,espa,basico,40.64
FIDEL LOPEZ COLON,BAYAMON,COROZAL,510,espa,basico,44.44
FIDELINA MELENDEZ MONSANTO,HUMACAO,FAJARDO,342,espa,basico,32.94
FLORENCIA GARCIA,HUMACAO,LAS PIEDRAS,501,espa,basico,47.83
FLORENCIO SANTIAGO,PONCE,SANTA ISABEL,273,espa,basico,37.16
FORTUNATO JORGE CORONA,MAYAGUEZ,MAYAGUEZ,187,espa,basico,32.31
FRANCISCA DAVILA SEMPRIT,BAYAMON,TOA BAJA,396,espa,basico,48.49
FRANCISCO GARCIA BOYRIE,CAGUAS,GUAYAMA,447,espa,basico,43.82
FRANCISCO GAZTAMBIDE VEGA,BAYAMON,BAYAMON,497,espa,basico,42.15
FRANCISCO JORDAN,PONCE,UTUADO,195,espa,basico,30.14
FRANCISCO LOPEZ CRUZ,BAYAMON,COROZAL,349,espa,basico,47.51
FRANCISCO MANRIQUE CABRERA,BAYAMON,BAYAMON,606,espa,basico,35.42
FRANCISCO MARIANO QUINONES,CAGUAS,GUAYAMA,166,espa,basico,11.76
FRANCISCO MATIAS LUGO,SAN JUAN,CAROLINA,584,espa,basico,48.38
FRANCISCO MENDOZA,MAYAGUEZ,SAN SEBASTIAN,938,espa,basico,32.69
FRANCISCO MENENDEZ BALBANE,ARECIBO,MANATI,134,espa,basico,10.23
FRANCISCO MORALES,BAYAMON,COROZAL,616,espa,basico,45.65
FRANCISCO OLLER,BAYAMON,TOA BAJA,752,espa,basico,50.63
FRANCISCO PACHIN MARIN,ARECIBO,ARECIBO,353,espa,basico,30.45
FRANCISCO PARRA DUPERON,PONCE,PONCE,135,espa,basico,13.24
FRANCISCO PIETRI MARIANI,PONCE,UTUADO,86,espa,basico,39.53
FRANCISCO PRADO PICART,PONCE,SANTA ISABEL,363,espa,basico,45.39
FRANCISCO RAMOS,PONCE,UTUADO,434,espa,basico,22.27
FRANCISCO RIVERA CLAUDIO,BAYAMON,OROCOVIS,274,espa,basico,35.14
FRANCISCO RODRIGUEZ LOPEZ,PONCE,YAUCO,190,espa,basico,11.76
FRANCISCO ROQUE MUNOZ,BAYAMON,COROZAL,156,espa,basico,32.88
FRANCISCO TORRES,HUMACAO,LAS PIEDRAS,222,espa,basico,50.85
FRANCISCO VALDES,CAGUAS,GURABO,142,espa,basico,40.85
FRANCISCO ZAYAS SANTANA,PONCE,SANTA ISABEL,419,espa,basico,40.99
FRANKLIN D ROOSEVELT,MAYAGUEZ,MAYAGUEZ,172,espa,basico,43.33
FRANKLIN DELANO ROOSEVELT,MAYAGUEZ,CABO ROJO,105,espa,basico,38.57
FRATERNIDAD,PONCE,YAUCO,100,espa,basico,2.08
FRAY BARTOLOME DE LAS CASAS,SAN JUAN,SAN JUAN II,242,espa,basico,39.36
FULGENCIO PINERO RODRIGUEZ,HUMACAO,LAS PIEDRAS,335,espa,basico,55.29
GABINO SOTO,HUMACAO,FAJARDO,237,espa,basico,42.86
GABRIELA MISTRAL,ARECIBO,CAMUY,204,espa,basico,50.5
GABRIELA MISTRAL,SAN JUAN,SAN JUAN I,628,espa,basico,67.65
GASPAR VILA MAYANS,SAN JUAN,SAN JUAN II,204,espa,basico,41.43
GATO I,BAYAMON,OROCOVIS,138,espa,basico,47.59
GENARO BOU,BAYAMON,COROZAL,198,espa,basico,39.8
GENARO CAUTINO,CAGUAS,GUAYAMA,375,espa,basico,11.3
GENEROSO MORALES MUNOZ,HUMACAO,YABUCOA,351,espa,basico,37.87
GENOVEVA PEREZ,MAYAGUEZ,AGUADILLA,128,espa,basico,35.82
GEORGE WASHINGTON,ARECIBO,CAMUY,329,espa,basico,22.83
GEORGINA ALVARADO,MAYAGUEZ,CABO ROJO,203,espa,basico,12.16
GEORGINA BAQUERO,HUMACAO,CANOVANAS,342,espa,basico,43.55
GERARDO SELLES SOLA,CAGUAS,GURABO,330,espa,basico,19.55
GERARDO SELLES SOLA,SAN JUAN,SAN JUAN II,281,espa,basico,42.76
GERMAN RIECKEHOFF,HUMACAO,FAJARDO,284,espa,basico,52.83
GILBERTO CONCEPCION DE GRACIA,SAN JUAN,CAROLINA,1185,espa,basico,44.9
GLORIA GONZALEZ,MAYAGUEZ,SAN SEBASTIAN,133,espa,basico,33.33
GUILLERMO GONZALEZ,CAGUAS,GUAYAMA,114,espa,basico,30.51
GUILLERMO RIEFKHOL,HUMACAO,YABUCOA,131,espa,basico,49.02
GULLERMINA ROSADO DE AYALA,HUMACAO,CANOVANAS,409,espa,basico,36.86
GUSTAVO A BECQUER,SAN JUAN,SAN JUAN II,145,espa,basico,54.17
HATO NUEVO,CAGUAS,GURABO,247,espa,basico,35.29
HATO VIEJO CUMBRE,ARECIBO,MANATI,134,espa,basico,38.96
HAYDEE CABALLERO,CAGUAS,GURABO,305,espa,basico,48.7
HAYDEE REXACH,SAN JUAN,SAN JUAN II,176,espa,basico,56.16
HEMETERIO COLON,PONCE,PONCE,294,espa,basico,31.42
HENRY W LONGFELLOW,MAYAGUEZ,CABO ROJO,334,espa,basico,19.8
HERACLIO RIVERA COLON,BAYAMON,TOA BAJA,171,espa,basico,23.08
HERMINIA C RAMIREZ,MAYAGUEZ,CABO ROJO,145,espa,basico,1.04
HERMINIA DIAZ APONTE,SAN JUAN,GUAYNABO,182,espa,basico,46.15
HERMINIA GARCIA,PONCE,PONCE,520,espa,basico,17.06
HERMINIA RIVERA FERNANDEZ,BAYAMON,BAYAMON,314,espa,basico,47
HERMINIO SIERRA,CAGUAS,BARRANQUITAS,NA,espa,basico,NA
HERMINIO W SANTAELLA,PONCE,SANTA ISABEL,NA,espa,basico,NA
HIPOLITO GARCIA,PONCE,YAUCO,312,espa,basico,40.35
HOMERO RIVERA SOLA,MAYAGUEZ,AGUADILLA,165,espa,basico,38.1
HORACE MANN,BAYAMON,TOA BAJA,161,espa,basico,18.52
IGNACIO MIRANDA,ARECIBO,VEGA ALTA,363,espa,basico,16.28
ILEANA DE GRACIA (SUPERIOR NUEVA),ARECIBO,VEGA ALTA,560,espa,basico,49.41
IMBERY,ARECIBO,MANATI,231,espa,basico,40
INDIERA FRIA,MAYAGUEZ,MAYAGUEZ,81,espa,basico,2.94
INES ENCARNACION,HUMACAO,FAJARDO,162,espa,basico,45.88
INES MARIA MENDOZA,CAGUAS,BARRANQUITAS,202,espa,basico,2.8
INES MARIA MENDOZA,CAGUAS,GURABO,261,espa,basico,46.46
INES MARIA MENDOZA,PONCE,YAUCO,232,espa,basico,11.43
INES MARIA MENDOZA,SAN JUAN,SAN JUAN II,738,espa,basico,54.97
INES MARIA MENDOZA,BAYAMON,BAYAMON,297,espa,basico,36.59
INOCENCIO CINTRON ZAYAS,CAGUAS,BARRANQUITAS,96,espa,basico,0
INOCENCIO MONTERO,PONCE,UTUADO,324,espa,basico,39.71
INSTITUTO LOAIZA CORDERO,SAN JUAN,SAN JUAN I,195,espa,basico,52.99
INSTITUTO TEC RECINTO DE GUAYAMA,CAGUAS,GUAYAMA,NA,espa,basico,NA
INSTITUTO TEC RECINTO DE MANATI,ARECIBO,MANATI,NA,espa,basico,NA
INSTITUTO TEC RECINTO DE SAN JUAN,SAN JUAN,SAN JUAN II,NA,espa,basico,NA
INT BO QUEBRADA ARENAS,BAYAMON,TOA BAJA,537,espa,basico,31.81
INTERMEDIA BO PILETAS,ARECIBO,CAMUY,559,espa,basico,40.8
INTERMEDIA BO QUEBRADILLAS,CAGUAS,BARRANQUITAS,357,espa,basico,36.62
INTERMEDIA CACIQUE AGUEYBANA,BAYAMON,BAYAMON,557,espa,basico,39.86
INTERMEDIA NUEVA,HUMACAO,FAJARDO,327,espa,basico,45.78
INTERMEDIA NUEVA BO MEDIANIA,HUMACAO,CANOVANAS,442,espa,basico,47.35
INTERMEDIA RAMON PEREZ PURCEL,PONCE,YAUCO,126,espa,basico,48.72
INTERMEDIA SABANA LLANA,CAGUAS,GUAYAMA,324,espa,basico,45.72
INTERMEDIA TALLABOA ALTA,PONCE,YAUCO,220,espa,basico,45.74
INTERMEDIA URBANA SALINAS,CAGUAS,GUAYAMA,329,espa,basico,34.25
IRMA DELIZ DE MUNOZ,MAYAGUEZ,SAN SEBASTIAN,664,espa,basico,47.62
ISAAC DEL ROSARIO,BAYAMON,TOA BAJA,476,espa,basico,35.26
ISABEL FLORES,HUMACAO,LAS PIEDRAS,550,espa,basico,50.91
ISABEL SUAREZ,MAYAGUEZ,AGUADILLA,501,espa,basico,50.42
ISMAEL MALDONADO LUGARO,PONCE,PONCE,203,espa,basico,51.08
JACINTO LOPEZ MARTINEZ,ARECIBO,VEGA ALTA,338,espa,basico,46.93
JAIME A COLLAZO DEL RIO,BAYAMON,OROCOVIS,782,espa,basico,50.49
JAIME C RODRIGUEZ,HUMACAO,YABUCOA,190,espa,basico,38.37
JAIME COIRA ORTIZ,ARECIBO,MANATI,187,espa,basico,24.8
JAIME L DREW,PONCE,PONCE,266,espa,basico,39.2
JAIME ROSARIO (BUENA VISTA ELEMENTAL),SAN JUAN,SAN JUAN II,99,espa,basico,25
JAMES GARFIELD,MAYAGUEZ,CABO ROJO,214,espa,basico,45.38
JARDINES DE CAGUAS,CAGUAS,GURABO,51,espa,basico,0
JARDINES DE PONCE,PONCE,PONCE,348,espa,basico,40.68
JESUS MANUEL SUAREZ,SAN JUAN,CAROLINA,228,espa,basico,18.18
JESUS MARIA SANROMA,SAN JUAN,CAROLINA,288,espa,basico,49.75
JESUS SANCHEZ ERAZO,BAYAMON,BAYAMON,534,espa,basico,39.2
JESUS SILVA,SAN JUAN,GUAYNABO,275,espa,basico,24.37
JESUS T PINERO,ARECIBO,MANATI,414,espa,basico,40.66
JESUS T PINERO,CAGUAS,GURABO,197,espa,basico,47.58
JESUS T PINERO,CAGUAS,CIDRA,422,espa,basico,28.42
JESUS T PINERO,SAN JUAN,CAROLINA,321,espa,basico,33.99
JESUS T PINERO,SAN JUAN,GUAYNABO,351,espa,basico,47.73
JOAQUIN FERRAN LLUIS,PONCE,PONCE,61,espa,basico,26.19
JOAQUIN RODRIGUEZ RUIZ,ARECIBO,ARECIBO,224,espa,basico,7.91
JOBOS,HUMACAO,CANOVANAS,90,espa,basico,29.27
JOHN F KENNEDY,CAGUAS,GURABO,239,espa,basico,40.25
JOHN F KENNEDY,PONCE,SANTA ISABEL,202,espa,basico,1.48
JOHN F KENNEDY,BAYAMON,TOA BAJA,195,espa,basico,45.65
JOHN W HARRIS,ARECIBO,ARECIBO,241,espa,basico,27.48
JORGE ROSARIO DEL VALLE,HUMACAO,YABUCOA,366,espa,basico,40.37
JORGE SEDA CRESPO,MAYAGUEZ,AGUADILLA,165,espa,basico,38.89
JORGE WASHINGTON II,CAGUAS,GUAYAMA,210,espa,basico,26.96
JOSE  M ESPADA ZAYAS,PONCE,SANTA ISABEL,316,espa,basico,30.77
JOSE .F CINTRON Y ANEXO,HUMACAO,YABUCOA,114,espa,basico,47.76
JOSE A CASTILLO,MAYAGUEZ,CABO ROJO,300,espa,basico,8.11
JOSE A GONZALEZ,PONCE,SANTA ISABEL,263,espa,basico,17.11
JOSE A LOPEZ CASTRO,HUMACAO,LAS PIEDRAS,162,espa,basico,46.15
JOSE A NIEVES,BAYAMON,TOA BAJA,215,espa,basico,15.91
JOSE ACEVEDO ALVAREZ,MAYAGUEZ,AGUADILLA,110,espa,basico,31.94
JOSE B BARCELO OLIVER,PONCE,UTUADO,NA,espa,basico,NA
JOSE C ROSARIO,MAYAGUEZ,SAN SEBASTIAN,475,espa,basico,44.05
JOSE CALZADA FERRER,HUMACAO,CANOVANAS,404,espa,basico,49.03
JOSE CAMPECHE,HUMACAO,YABUCOA,704,espa,basico,45.57
JOSE CAMPECHE,BAYAMON,BAYAMON,253,espa,basico,28.19
JOSE COLLAZO COLON,HUMACAO,LAS PIEDRAS,633,espa,basico,43.86
JOSE COLON GONZALEZ,CAGUAS,BARRANQUITAS,340,espa,basico,11.46
JOSE CORDERO ROSARIO,ARECIBO,MANATI,174,espa,basico,20.77
JOSE D ROSADO,ARECIBO,VEGA ALTA,199,espa,basico,42.2
JOSE DE CHOUDENS,CAGUAS,GUAYAMA,286,espa,basico,36.78
JOSE DE DIEGO,HUMACAO,LAS PIEDRAS,238,espa,basico,51.81
JOSE DE DIEGO,MAYAGUEZ,AGUADILLA,142,espa,basico,7.95
JOSE DE DIEGO,MAYAGUEZ,AGUADILLA,206,espa,basico,44.59
JOSE EMILIO LUGO,PONCE,UTUADO,693,espa,basico,34.25
JOSE F DIAZ,SAN JUAN,GUAYNABO,266,espa,basico,45.61
JOSE FELIPE ZAYAS,PONCE,SANTA ISABEL,523,espa,basico,44.08
JOSE GAUTIER BENITEZ,ARECIBO,ARECIBO,234,espa,basico,7.69
JOSE GAUTIER BENITEZ,CAGUAS,GURABO,547,espa,basico,60.19
JOSE GAUTIER BENITEZ,MAYAGUEZ,MAYAGUEZ,402,espa,basico,49.65
JOSE GAUTIER BENITEZ,PONCE,PONCE,181,espa,basico,10.96
JOSE GONZALEZ RUIZ,MAYAGUEZ,AGUADILLA,151,espa,basico,25.29
JOSE GUALBERTO PADILLA,ARECIBO,ARECIBO,212,espa,basico,48.67
JOSE GUALBERTO PADILLA,CAGUAS,CIDRA,54,espa,basico,0
JOSE GUALBERTO PADILLA,SAN JUAN,SAN JUAN II,219,espa,basico,48.92
JOSE GUALBERTO PADILLA,ARECIBO,VEGA ALTA,393,espa,basico,41.88
JOSE HORACIO CORA,CAGUAS,GUAYAMA,342,espa,basico,42.11
JOSE JULIAN ACOSTA,MAYAGUEZ,SAN SEBASTIAN,145,espa,basico,32.97
JOSE JULIAN ACOSTA (TEATRO),SAN JUAN,SAN JUAN I,210,espa,basico,21.05
JOSE M DEL VALLE,BAYAMON,TOA BAJA,348,espa,basico,35.1
JOSE M MASSARI,CAGUAS,GUAYAMA,259,espa,basico,26.83
JOSE M RIVERA SOLIS,SAN JUAN,SAN JUAN II,167,espa,basico,41.18
JOSE M TORRES,BAYAMON,BAYAMON,197,espa,basico,42.96
JOSE MERCADO,CAGUAS,GURABO,234,espa,basico,21.23
JOSE MUNOZ VAZQUEZ,CAGUAS,GUAYAMA,170,espa,basico,45.45
JOSE NEVAREZ LOPEZ,BAYAMON,TOA BAJA,197,espa,basico,25.81
JOSE ONOFRE TORRES,PONCE,YAUCO,446,espa,basico,40.51
JOSE PABLO MORALES,BAYAMON,TOA BAJA,317,espa,basico,41.04
JOSE PADIN,CAGUAS,GUAYAMA,140,espa,basico,13.75
JOSE PAGAN DE JESUS,ARECIBO,VEGA ALTA,415,espa,basico,46.64
JOSE R AGOSTO,HUMACAO,FAJARDO,200,espa,basico,4.08
JOSE R GAZTAMBIDE,MAYAGUEZ,CABO ROJO,202,espa,basico,32.04
JOSE RAMON RODRIGUEZ,PONCE,SANTA ISABEL,426,espa,basico,31.28
JOSE ROBLES OTERO,BAYAMON,TOA BAJA,189,espa,basico,31.03
JOSE RODRIGUEZ SOTO,PONCE,YAUCO,491,espa,basico,38.2
JOSE ROJAS CORTES,BAYAMON,OROCOVIS,520,espa,basico,39.17
JOSE SANTOS ALEGRIA,ARECIBO,VEGA ALTA,1007,espa,basico,50.22
JOSE SANTOS QUINONES,HUMACAO,CANOVANAS,301,espa,basico,56.99
JOSE SEVERO QUINONES,SAN JUAN,CAROLINA,759,espa,basico,44.99
JOSE VIZCARRONDO,PONCE,UTUADO,188,espa,basico,39.37
JOSEFA DEL RIO GUERRERO,BAYAMON,OROCOVIS,620,espa,basico,26.27
JOSEFA VELEZ BAUZA (SUPERIOR URBANA),PONCE,YAUCO,718,espa,basico,46.07
JOSEFINA BARCELO,SAN JUAN,GUAYNABO,516,espa,basico,46.43
JOSEFINA BOYA LEON,PONCE,PONCE,311,espa,basico,40.15
JOSEFINA FERRERO,HUMACAO,FAJARDO,401,espa,basico,45.2
JOSEFINA LEON ZAYAS,PONCE,UTUADO,765,espa,basico,42.71
JOSEFINA LINARES,ARECIBO,CAMUY,334,espa,basico,36.07
JOSEFINA MARRERO FEBUS,BAYAMON,COROZAL,144,espa,basico,43.33
JOSEFINA MUNOZ DE BERNIER,HUMACAO,YABUCOA,320,espa,basico,40.26
JOSEFITA MONSERRATE DE SELLES,BAYAMON,BAYAMON,279,espa,basico,41.03
JUAN  ANTONIO  CORRETJER,SAN JUAN,SAN JUAN II,350,espa,basico,53.48
JUAN A CORRETJER,ARECIBO,MANATI,670,espa,basico,46.2
JUAN A SANCHEZ,HUMACAO,LAS PIEDRAS,259,espa,basico,10.22
JUAN A SANCHEZ DAVILA,ARECIBO,MANATI,215,espa,basico,44.93
JUAN ALEJO ARIZMENDI,ARECIBO,CAMUY,382,espa,basico,37.89
JUAN B HUYKE,HUMACAO,YABUCOA,193,espa,basico,54
JUAN B HUYKE,SAN JUAN,SAN JUAN II,413,espa,basico,33.57
JUAN CUEVAS ABOY,PONCE,PONCE,303,espa,basico,35.8
JUAN DE DIOS QUINONES,MAYAGUEZ,SAN SEBASTIAN,341,espa,basico,42.55
JUAN E MIRANDA,SAN JUAN,GUAYNABO,402,espa,basico,47.51
JUAN I VEGA,MAYAGUEZ,CABO ROJO,195,espa,basico,27.84
JUAN JOSE MAUNEZ,HUMACAO,FAJARDO,496,espa,basico,58.18
JUAN JOSE OSUNA,SAN JUAN,SAN JUAN I,213,espa,basico,14.52
JUAN LINO SANTIAGO,MAYAGUEZ,AGUADILLA,578,espa,basico,40.85
JUAN MOREL CAMPOS (MUSICA),PONCE,PONCE,NA,espa,basico,NA
JUAN MORELL CAMPOS,BAYAMON,BAYAMON,233,espa,basico,50
JUAN NAVARRO,CAGUAS,GURABO,111,espa,basico,6.9
JUAN PONCE DE LEON,HUMACAO,LAS PIEDRAS,375,espa,basico,33.33
JUAN PONCE DE LEON,SAN JUAN,SAN JUAN II,363,espa,basico,52.54
JUAN PONCE DE LEON,SAN JUAN,GUAYNABO,367,espa,basico,36.96
JUAN PONCE DE LEON II,ARECIBO,MANATI,660,espa,basico,46.43
JUAN QUIRINDONGO MORELL,ARECIBO,VEGA ALTA,704,espa,basico,36.88
JUAN RAMON JIMENEZ,SAN JUAN,SAN JUAN II,257,espa,basico,48.85
JUAN RAMON JIMENEZ,BAYAMON,BAYAMON,402,espa,basico,48.01
JUAN ROMAN OCASIO,SAN JUAN,GUAYNABO,160,espa,basico,36.14
JUAN SERAPIO MANGUAL,PONCE,SANTA ISABEL,337,espa,basico,33.33
JUAN SERRALLES (INTERMEDIA),PONCE,PONCE,529,espa,basico,42.63
JUAN SERRALLES (SUPERIOR),PONCE,PONCE,434,espa,basico,42
JUAN SUAREZ PELEGRINA (NUEVA),MAYAGUEZ,AGUADILLA,923,espa,basico,35.27
JUAN ZAMORA,CAGUAS,BARRANQUITAS,176,espa,basico,3.26
JUANA A MENDEZ,SAN JUAN,CAROLINA,459,espa,basico,35.58
JUANA B GUZMAN,MAYAGUEZ,SAN SEBASTIAN,89,espa,basico,15.69
JUANA COLON,CAGUAS,BARRANQUITAS,475,espa,basico,34.29
JUANA G AVILES (FRANQUEZ),BAYAMON,OROCOVIS,308,espa,basico,44.23
JUANA RODRIGUEZ MUNDO,HUMACAO,CANOVANAS,247,espa,basico,30.97
JUANITA GARCIA PERAZA,SAN JUAN,SAN JUAN II,232,espa,basico,4.65
JUANITA RAMIREZ GONZALEZ,ARECIBO,MANATI,375,espa,basico,44.68
JUANITA RIVERA,PONCE,SANTA ISABEL,183,espa,basico,36.54
JUANITA RIVERA ALBERT,HUMACAO,FAJARDO,82,espa,basico,NA
JUDITH A VIVAS,PONCE,UTUADO,372,espa,basico,10.5
JULIA CORDERO NEGRON,PONCE,PONCE,152,espa,basico,55.71
JULIA DE BURGOS,HUMACAO,CANOVANAS,186,espa,basico,51.61
JULIAN E BLANCO (BALLET),SAN JUAN,SAN JUAN I,113,espa,basico,21.92
JULIO ALVARADO,PONCE,PONCE,338,espa,basico,45.66
JULIO COLLAZO SILVA,PONCE,PONCE,232,espa,basico,44.85
JULIO LEBRON SOTO,ARECIBO,CAMUY,255,espa,basico,25.35
JULIO RESSY,BAYAMON,BAYAMON,313,espa,basico,39.31
JULIO SEIJO,ARECIBO,ARECIBO,257,espa,basico,42.18
JULIO SELLES SOLA,SAN JUAN,SAN JUAN I,557,espa,basico,34.62
JULIO V GUZMAN,MAYAGUEZ,CABO ROJO,444,espa,basico,46.03
JUSTINA VAZQUEZ MENDOZA,CAGUAS,GURABO,281,espa,basico,16.67
LA CARMEN,MAYAGUEZ,MAYAGUEZ,128,espa,basico,12.86
LA ESPERANZA (LUIS PALES MATOS),SAN JUAN,SAN JUAN I,233,espa,basico,1.45
LA FERMINA,HUMACAO,LAS PIEDRAS,333,espa,basico,17.71
LA VEGA (STEPHEN S HUSE),CAGUAS,BARRANQUITAS,127,espa,basico,18.67
LADISLAO MARTINEZ,ARECIBO,VEGA ALTA,613,espa,basico,53.5
LAMBOGLIA,HUMACAO,YABUCOA,77,espa,basico,52.05
LAS AMERICAS,SAN JUAN,SAN JUAN I,271,espa,basico,49.38
LAS MAREAS,CAGUAS,GUAYAMA,104,espa,basico,42
LAS MERCEDES,SAN JUAN,SAN JUAN II,199,espa,basico,35.4
LAS VIRTUDES,SAN JUAN,SAN JUAN II,157,espa,basico,19.54
LAURA MERCADO,MAYAGUEZ,CABO ROJO,346,espa,basico,33.81
LAURENTINO ESTRELLA COLON,ARECIBO,CAMUY,160,espa,basico,6.31
LAURENTINO NIEVES VELEZ,MAYAGUEZ,SAN SEBASTIAN,120,espa,basico,13.43
LCDO GUILLERMO ATILES MOREAU,SAN JUAN,SAN JUAN II,138,espa,basico,57.58
LENA M FRANCESCH - RUBIAS KM 2.5,PONCE,YAUCO,71,espa,basico,22.45
LEONARDO VALENTIN TIRADO,ARECIBO,MANATI,387,espa,basico,36.51
LEONICIO MELENDEZ,HUMACAO,LAS PIEDRAS,346,espa,basico,48.5
LEONIDES MORALES RODRIGUEZ,MAYAGUEZ,CABO ROJO,892,espa,basico,41.35
LIBERATA IRALDO (NUEVA),HUMACAO,CANOVANAS,517,espa,basico,41.84
LIBRADO NET,PONCE,PONCE,229,espa,basico,20.37
LIBRE DE MUSICA,ARECIBO,ARECIBO,NA,espa,basico,NA
LIDIA FIOL SCARANO,HUMACAO,LAS PIEDRAS,244,espa,basico,28.47
LILA MARIA MERCEDES MAYORAL,PONCE,PONCE,338,espa,basico,50.65
LINO PADRON RIVERA,ARECIBO,VEGA ALTA,865,espa,basico,50.64
LLANOS DEL SUR,PONCE,PONCE,354,espa,basico,43.43
LOAIZA CORDERO DEL ROSARIO,PONCE,YAUCO,701,espa,basico,50
LOLA RODRIGUEZ DE TIO,MAYAGUEZ,CABO ROJO,763,espa,basico,38.25
LORENCITA RAMIREZ DE ARELLANO,BAYAMON,TOA BAJA,190,espa,basico,31.4
LORENZO COBALLES GANDIA,ARECIBO,ARECIBO,623,espa,basico,44.94
LORENZO VIZCARRONDO,SAN JUAN,CAROLINA,678,espa,basico,58.89
LUCIA CUBERO,MAYAGUEZ,AGUADILLA,160,espa,basico,3.57
LUCY GRILLASCA,PONCE,PONCE,231,espa,basico,32.43
LUDOVICO COSTOSO,BAYAMON,BAYAMON,86,espa,basico,40.74
LUIS A FERRE AGUAYO,PONCE,YAUCO,218,espa,basico,24.32
LUIS A RIVERA,CAGUAS,GUAYAMA,284,espa,basico,47.16
LUIS F CRESPO,ARECIBO,CAMUY,881,espa,basico,44.81
LUIS FELIPE RODRIGUEZ GARCIA,ARECIBO,CAMUY,543,espa,basico,11.64
LUIS HERNAIZ VERONNE,HUMACAO,CANOVANAS,512,espa,basico,53.74
LUIS LLORENS TORRES,PONCE,SANTA ISABEL,610,espa,basico,38.64
LUIS LLORENS TORRES,SAN JUAN,SAN JUAN I,337,espa,basico,56.33
LUIS M SANTIAGO,BAYAMON,TOA BAJA,504,espa,basico,40.93
LUIS MELENDEZ RODRIGUEZ ELEM,ARECIBO,ARECIBO,438,espa,basico,42.34
LUIS MUNIZ SOUFFRONT,SAN JUAN,SAN JUAN I,403,espa,basico,45.12
LUIS MUNOZ GRILLO,CAGUAS,GURABO,146,espa,basico,30.65
LUIS MUNOZ MARIN,ARECIBO,ARECIBO,260,espa,basico,31.33
LUIS MUNOZ MARIN,CAGUAS,GURABO,264,espa,basico,21.92
LUIS MUNOZ MARIN,CAGUAS,CIDRA,367,espa,basico,49.44
LUIS MUNOZ MARIN,CAGUAS,BARRANQUITAS,281,espa,basico,17.6
LUIS MUNOZ MARIN,CAGUAS,BARRANQUITAS,588,espa,basico,28.06
LUIS MUNOZ MARIN,HUMACAO,CANOVANAS,224,espa,basico,47.71
LUIS MUNOZ MARIN,HUMACAO,YABUCOA,175,espa,basico,45.71
LUIS MUNOZ MARIN,MAYAGUEZ,AGUADILLA,524,espa,basico,28.16
